UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
100654,"R",1088,"R",0,"R",1088,"R",116,"R",11,"R",345,"R",32,"Z",0,"R",1088,"R",38,"Z",0,"R",383,"R",35,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100663,"R",1521,"R",7,"R",1514,"R",350,"R",23,"R",675,"R",45,"R",2,"R",1512,"R",63,"R",39,"R",738,"R",49,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100690,"R",4,"R",0,"R",4,"Z",0,"R",0,"Z",0,"R",0,"R",1,"R",3,"R",1,"Z",0,"R",1,"R",33,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100706,"R",626,"R",0,"R",626,"R",87,"R",14,"R",284,"R",45,"R",0,"R",626,"R",32,"R",16,"R",316,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100724,"R",1198,"R",0,"R",1198,"R",106,"R",9,"R",314,"R",26,"R",0,"R",1198,"R",47,"R",11,"R",361,"R",30,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100751,"R",3703,"R",61,"R",3642,"R",1373,"R",38,"R",2396,"R",66,"R",0,"R",3642,"R",94,"R",33,"R",2490,"R",68,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100760,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",594,"R",0,"R",594,"R",40,"R",7,"R",87,"R",15,"R",0,"R",594,"R",53,"R",68,"R",140,"R",24
100830,"R",520,"R",0,"R",520,"R",65,"R",13,"R",173,"R",33,"R",0,"R",520,"R",16,"R",21,"R",189,"R",36,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100858,"R",4179,"R",0,"R",4179,"R",1491,"R",36,"R",2770,"R",66,"R",0,"R",4179,"R",130,"R",35,"R",2900,"R",69,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100937,"R",316,"R",0,"R",316,"R",167,"R",53,"R",195,"R",62,"R",0,"R",316,"R",2,"R",0,"R",197,"R",62,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101028,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",281,"R",0,"R",281,"R",41,"R",15,"R",41,"R",15,"R",0,"R",281,"R",29,"R",0,"R",70,"R",25
101073,"R",233,"R",0,"R",233,"R",6,"R",3,"R",8,"R",3,"R",1,"R",232,"R",5,"R",2,"R",13,"R",6,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101116,"R",12,"R",0,"R",12,"R",1,"R",8,"R",1,"R",8,"R",0,"R",12,"R",0,"R",0,"R",1,"R",8,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101143,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",553,"R",0,"R",553,"R",103,"R",19,"R",122,"R",22,"R",0,"R",553,"R",9,"R",30,"R",131,"R",24
101161,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1070,"R",0,"R",1070,"R",125,"R",12,"R",148,"R",14,"R",0,"R",1070,"R",17,"R",0,"R",165,"R",15
101189,"R",171,"R",0,"R",171,"R",23,"R",13,"R",56,"R",33,"R",0,"R",171,"R",1,"R",0,"R",57,"R",33,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101240,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1573,"R",0,"R",1573,"R",164,"R",10,"R",244,"R",16,"R",0,"R",1573,"R",59,"R",129,"R",303,"R",19
101277,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",13,"R",0,"R",13,"R",9,"R",69,"R",11,"R",85,"R",0,"R",13,"R",0,"R",0,"R",11,"R",85
