,ID,Occupation,Job.Series,School,Major,Level.of.Education,Gender,Race,Disability,Hired
1,1,Air Navigation,2183,212054,Aviation,Master's/J.D./LL.B.,Female,White,targeted disability,N
2,2,Paralegal Specialist,950,145637,Any Major,Bachelor's Degree,Male,Black/African American,NA,N
3,3,Medical Records Administration,669,152080,Library Science,Some College,Male,Hispanic/Latino,disability,N
4,4,Animal Science,487,236948,Zoology,Some College,Female,American Indian/Alaskan Native,NA,N
5,5,Workers' Compensation Claims Examining,991,170976,Employee/Labor Relations,Master's/J.D./LL.B.,Male,American Indian/Alaskan Native,disability,N
6,6,Actuary,1510,236948,Economics,Associates Degree,Male,More than one race,NA,N
7,7,Securities Compliance Examining,1831,231174,Finance,Bachelor's Degree,Male,White,NA,N
8,8,Economist,110,100751,Economics,Some College,Female,White,disability,N
9,9,History,170,179159,History,Associates Degree,Female,White,NA,N
10,10,Vocational Rehabilitation,1715,110644,Counseling,Some College,Female,White,NA,N
11,11,Writing and Editing,1082,243780,Communications,Bachelor's Degree,Female,White,NA,Y
12,12,Property Disposal,1104,197708,Marketing,Associates Degree,Female,Black/African American,targeted disability,N
13,13,Communications Clerical,394,186131,Communications,Bachelor's Degree,Female,White,NA,N
14,14,Apprenticeship and Training,243,139658,Human Resource Mgt.,Master's/J.D./LL.B.,Male,White,NA,N
15,15,Aircraft Operation,2181,228723,Aviation,Bachelor's Degree,Female,White,disability,N
16,16,General Fish and Wildlife Administration,480,221999,Environmental Studies,Associates Degree,Female,White,targeted disability,N
17,17,Aviation Safety,1825,166683,Aviation,Associates Degree,Male,Native Hawaiian/Pacific Islander,NA,N
18,18,Administrative Officer,341,100751,Any Major,Bachelor's Degree,Male,Black/African American,disability,N
19,19,Administrative Law Judge,935,166629,Law,Some College,Female,White,disability,N
20,20,Illustrating,1020,168148,"Arts, Fine And Applied",Bachelor's Degree,Female,White,NA,N
21,21,Immigration Inspection,1816,196413,Law Enforcement,Some College,Female,American Indian/Alaskan Native,disability,N
22,22,Dietitian and Nutritionist,630,165015,Food Technology And Safety,Bachelor's Degree,Female,White,disability,Y
23,23,Health System Administration,670,152080,Health,Associates Degree,Male,Black/African American,NA,N
24,24,Administrative Officer,341,166629,Any Major,Some College,Male,White,NA,N
25,25,General Facilities and Equipment,1601,233921,"Management, Facilities",Associates Degree,Female,White,NA,N
26,26,Museum Curator,1015,131469,Anthropology,Bachelor's Degree,Female,White,NA,N
27,27,Sociology,184,199847,Sociology,Bachelor's Degree,Male,Hispanic/Latino,NA,N
28,28,Computer Engineering,854,197708,Engineering (Any Specialty),Bachelor's Degree,Male,Black/African American,NA,N
29,29,Patent Attorney,1222,152080,Law,Master's/J.D./LL.B.,Male,White,NA,N
30,30,Computer Science,1550,196413,Mathematics,Associates Degree,Female,Black/African American,NA,N
31,31,Production Control,1152,198419,Industrial Management,Associates Degree,Male,White,disability,N
32,32,Training Instruction,1712,186131,Education,Bachelor's Degree,Female,White,NA,N
33,33,Foreign Agricultural Affairs,135,228246,Foreign Language,Associates Degree,Male,White,disability,N
34,34,Mathematics,1520,221999,Mathematics,Bachelor's Degree,Male,White,NA,N
35,35,Supply Program Management,2003,231174,Any Major,Associates Degree,Male,Black/African American,NA,N
36,36,Foreign Affairs,130,166027,Foreign Language,Bachelor's Degree,Female,White,disability,N
37,37,Oceanography,1360,191241,Geology,Associates Degree,Female,Asian,NA,N
38,38,Foreign Affairs,130,152080,Foreign Language,Master's/J.D./LL.B.,Male,White,NA,Y
39,39,Contracting,1102,191241,Any Major,Associates Degree,Female,Hispanic/Latino,NA,N
40,40,Intelligence,132,228723,Accounting,Master's/J.D./LL.B.,Female,White,NA,N
41,41,Social Insurance Administration,105,195030,Insurance,Some College,Male,Black/African American,NA,N
42,42,Purchasing,1105,204024,Purchasing,Associates Degree,Male,White,NA,N
43,43,Recreation/Creative Arts Therapist,638,131469,Park And Recreation Management,Associates Degree,Female,White,disability,N
44,44,Writing and Editing,1082,197708,Communications,Bachelor's Degree,Female,White,NA,N
45,45,Nuclear Medicine Technician,642,215062,Medical Support,Associates Degree,Female,White,targeted disability,N
46,46,Writing and Editing,1082,215062,Communications,Some College,Male,Black/African American,disability,N
47,47,Miscellaneous Clerk and Assistant,303,196413,Business,Associates Degree,Female,Asian,disability,N
48,48,Bond Sales Promotion,11,163286,Marketing,Bachelor's Degree,Male,Black/African American,NA,N
49,49,Technical Writing and Editing,1083,234076,English And Literature,Master's/J.D./LL.B.,Male,White,disability,N
50,50,Administrative Law Judge,935,144050,Law,Bachelor's Degree,Female,Hispanic/Latino,NA,N
51,51,Social Work,185,122436,Social Work,Bachelor's Degree,Female,White,NA,N
52,52,Health System Specialist,671,166027,Hospital Admin.,Associates Degree,Male,Asian,targeted disability,N
53,53,Social Work,185,110635,Social Work,Bachelor's Degree,Male,Black/African American,NA,N
54,54,Metallurgy,1321,197708,Physical Science,Master's/J.D./LL.B.,Female,Black/African American,NA,N
55,55,Astronomy and Space Science,1330,215062,Astronomy,Master's/J.D./LL.B.,Male,Hispanic/Latino,NA,N
56,56,Writing and Editing,1082,178396,Communications,Some College,Male,Hispanic/Latino,NA,N
57,57,Social Insurance Administration,105,170976,Insurance,Bachelor's Degree,Male,White,disability,N
58,58,Nuclear Medicine Technician,642,215062,Medical Support,Associates Degree,Male,White,NA,N
59,59,Genetics,440,162928,Botany,Master's/J.D./LL.B.,Female,Black/African American,NA,N
60,60,Actuary,1510,178396,Economics,Associates Degree,Female,White,NA,N
61,61,Correctional Officer,7,213543,Corrections,Bachelor's Degree,Male,White,targeted disability,N
62,62,Social Work,185,196103,Social Work,Associates Degree,Female,White,NA,N
63,63,Production Control,1152,131469,Industrial Management,Bachelor's Degree,Female,White,targeted disability,Y
64,64,Agricultural Marketing,1146,186380,Marketing,Some College,Male,Hispanic/Latino,targeted disability,N
65,65,Telecommunications,391,131469,Communications,Bachelor's Degree,Female,White,NA,N
66,66,Contracting,1102,204024,Any Major,Associates Degree,Male,Asian,NA,N
67,67,Education Services,1740,190415,Liberal Arts/Humanities,Bachelor's Degree,Female,Black/African American,NA,N
68,68,Chaplain,60,152080,Counseling,Associates Degree,Male,White,disability,Y
69,69,Appraising,1171,190150,Finance,Associates Degree,Male,White,NA,N
70,70,Management and Program Analysis,343,121150,Any Major,Bachelor's Degree,Female,Hispanic/Latino,targeted disability,N
71,71,Computer Science,1550,186131,Mathematics,Bachelor's Degree,Male,Black/African American,disability,N
72,72,Miscellaneous Administration and Program,301,197708,Public Admin.,Bachelor's Degree,Female,Black/African American,disability,N
73,73,Naval Architecture,871,152080,Architecture,Associates Degree,Male,White,NA,N
74,74,Paralegal Specialist,950,191241,Any Major,Master's/J.D./LL.B.,Male,White,NA,N
75,75,Wildlife Biology,486,191241,Biology,Some College,Female,Asian,NA,N
76,76,Safety and Occupational Health Management,18,215293,Health,Master's/J.D./LL.B.,Male,White,disability,N
77,77,Mathematical Statistician,1529,198419,Mathematics,Associates Degree,Male,Black/African American,NA,N
78,78,Food Technology,1382,110635,Chemistry,Master's/J.D./LL.B.,Male,White,targeted disability,N
79,79,Traffic Management,2130,147767,Transportation,PhD,Female,Black/African American,disability,N
80,80,Horticulture,437,196103,Botany,Some College,Female,Asian,NA,N
81,81,Equal Employment Opportunity,260,147767,Foreign Language,PhD,Male,White,NA,N
82,82,Electronics Engineering,855,166027,Engineering (Any Specialty),Associates Degree,Female,Black/African American,NA,N
83,83,General Attorney,905,228778,Law,Bachelor's Degree,Male,White,NA,N
84,84,Technical Information Services,1412,147767,Library Science,Some College,Female,White,disability,N
85,85,Telecommunications,391,147767,Communications,Associates Degree,Male,Asian,NA,N
86,86,Equal Opportunity Compliance,360,198419,Liberal Arts/Humanities,Bachelor's Degree,Female,White,NA,N
87,87,Industrial Specialist,1150,230038,Industrial Management,Some College,Male,White,disability,N
88,88,Geography,150,230038,Geography,Some College,Male,Hispanic/Latino,targeted disability,Y
89,89,Miscellaneous Administration and Program,301,178396,Public Admin.,Bachelor's Degree,Male,White,disability,N
90,90,Supply Clerical and Technician,2005,162928,Marketing,Bachelor's Degree,Male,White,NA,N
91,91,Tax Law Specialist,987,110653,Law,PhD,Male,White,targeted disability,N
92,92,Construction Analyst,828,243744,Architecture,Associates Degree,Female,White,NA,N
93,93,Loan Specialist,1165,196413,Economics,Some College,Female,White,NA,N
94,94,Statistician,1530,131496,Mathematics,Bachelor's Degree,Male,Hispanic/Latino,disability,N
95,95,Physics,1310,165015,Physical Science,Bachelor's Degree,Male,Black/African American,NA,N
96,96,Food Inspection,1863,110404,Public Health,Bachelor's Degree,Female,Black/African American,targeted disability,N
97,97,Administrative Law Judge,935,166629,Law,Associates Degree,Male,Black/African American,NA,N
98,98,Consumer Safety,696,167358,Chemistry,Bachelor's Degree,Male,White,targeted disability,N
99,99,General Anthropology,190,231174,Anthropology,PhD,Female,White,disability,N
100,100,Foreign Agricultural Affairs,135,214777,Foreign Language,PhD,Male,White,targeted disability,N
101,101,Agronomy,471,215293,Agronomy,Associates Degree,Male,Black/African American,NA,Y
102,102,Education Program,1720,197708,Education,Some College,Male,White,NA,N
103,103,Air Navigation,2183,178396,Aviation,Some College,Male,White,NA,N
104,104,Claims Assistance and Examining,998,230038,Any Major,Bachelor's Degree,Male,Black/African American,disability,N
105,105,Writing and Editing,1082,223232,Communications,Master's/J.D./LL.B.,Male,Black/African American,disability,N
106,106,Naval Architecture,871,122436,Architecture,Associates Degree,Male,White,NA,N
107,107,Botany,430,243780,Botany,Some College,Female,Hispanic/Latino,targeted disability,N
108,108,Supply Clerical and Technician,2005,231174,Marketing,Associates Degree,Male,Black/African American,targeted disability,N
109,109,Distribution Facilities and Storage Management,2030,198419,"Management, Facilities",Associates Degree,Female,Asian,NA,N
110,110,Aircrew Technician,2185,165015,Aviation,Some College,Female,Asian,targeted disability,N
111,111,Plant Pathology,434,178396,Botany,Some College,Male,Black/African American,NA,N
112,112,General Physical Science,1301,214777,Geology,Associates Degree,Male,White,NA,N
113,113,Physician's Assistant,603,165015,Nursing,Master's/J.D./LL.B.,Female,White,disability,N
114,114,Geology,1350,110705,Geology,Associates Degree,Female,White,targeted disability,Y
115,115,Pharmacology,405,166629,Pharmacy,Bachelor's Degree,Female,White,targeted disability,N
116,116,Agricultural Program Specialist,1145,178396,Agriculture,Some College,Male,Hispanic/Latino,NA,N
117,117,Mathematics,1520,221999,Mathematics,Master's/J.D./LL.B.,Female,White,NA,N
